営業担当,リストグループ,主な病床機能,予算案策定時期,病院区分,法人名称等,病院名,病院名（カナ）,URL,創立日,創立日備考,診療科,病床数,病床の内訳,郵便番号,都道府県,住所1,電話番号,直通・内線など,FAX,E-mail,法人　郵便番号,法人　住所,法人　電話番号,出版DM用　肩書,出版DM用　宛名,WBDM用　肩書,WBDM用　宛名,役職,名前,フリガナ,出身（卒年）専門,秘書（所属　氏名）,秘書メールアドレス,役職２,名前２,フリガナ2,出身（卒年）専門２,メールアドレス２,役職3,名前3,フリガナ3,メールアドレス３,役職４,名前４,フリガナ４,メールアドレス４,事務長　役職名,事務長,フリガナ,メールアドレス,看護部長　役職名,看護部長,フリガナ,メールアドレス,出版実績,　売上実績,ESPS実績,　売上実績,トピックス,備考欄,
出塚 中島 片桐,,,,都道府県立,,長崎県病院企業団,ナガサキケンビョウインキギョウダン,https://www.nagasaki-hosp-agency.or.jp/,2009-04-01,企業団設立,"",1501,8病院、診療所、医療センター等,850-0035,長崎県,長崎市元船町17-1　長崎県大波止ビル7階,095-825-2255,095-801-0293（総務人事班直通）,,,,,,,,,,企業長,米倉　正大→　八橋　弘,ヤツハシ　ヒロシ,長崎大学（1984年）消化器内科（ウイルス肝炎、肝がん）,,,,,,,,,,,,総務人事班,村松→山野井260401,,,,,,,,,,,,"",,"",全国病院事業管理者協議会会員,"長崎県精神医療センター　139
長崎県島原病院　　　　　254
長崎県五島中央病院　　　304
長崎県富江病院　　　　　55
長崎県上五島病院　　　　186
長崎県対馬病医院　　　　275
長崎県上対馬病院　　　　60
長崎県壱岐病院　　　　　228
***********************************
８病院３診療所
離島地域における病院再編に注力
医師/看護師の確保が課題",
出塚 片桐 大山,内部留保が多い（2016年度）,,,都道府県立,,愛媛県立中央病院,エヒメケンリツチュウオウビョウイン,http://www.eph.pref.ehime.jp/epch/,1948-06-01,,"",827,,790-0024,愛媛県,松山市春日町83番地,089-947-1111,,089-943-4136,,,,,院長,中西　徳彦,,,院長,菅　政治→中西　徳彦,ナカニシ,岡山大学（1986年）呼吸器内科,,,秘書,坂本→相原（あいばら）→大森→小野,,,,,,,,,,,,事務局長,松本 英樹,,,看護部長,越智　小百合⇒青野　洋子⇒　不明,,,,"",,"",災害拠点病院（基幹） TAVI,"",
出塚 片桐,,,,都道府県立,,福井県立病院,フクイケンリツビョウイン,https://fph.pref.fukui.lg.jp/,1950-04-01,,"",737,,910-0846,福井県,福井市四ツ井2-8-1,0776-54-5151,,077-657-2945,,,,,院長,道傳 研司,,,院長,橋爪泰夫→吉川淳→道傳研司→　二宮　致,ニノミヤ　イタス,金沢大学（1988年）消化器外科、食道外科,,,,,,,,,,,,,,,,事務局長,竹内　宏治,,,看護部長,西田 美幸⇒  村田　みゆき,,,,"",,"",災害拠点病院（基幹） 都道府県がん診療連携拠点病院,"陽子線がん治療センターを持つ",
出塚 中島 片桐,,精神病院 急性期,,都道府県立,,兵庫県立はりま姫路総合医療センター,ヒョウゴケンリツハリマヒメジソウゴウイリョウセンター,https://hgmc.hyogo.jp/index.html,1939-02-02,診療開始　統合開設は2022/5,"",736,救命救急44、集中治療32、その他一般644、精神科16,670-8560,兵庫県,姫路市神屋町3丁目264番地,079-289-5080,,,,,,,,,,,院長,木下 芳一,,神戸大学（昭和55年）消化器内科,,,,,,,,,,,,,,,,管理局長,柏木 英士,,,看護部長,西田 真由美,,,,"",,"",,"2022年5月　製鉄記念広畑病院と兵庫県立姫路循環器病センターが統合して開設",
出塚 片桐,,,,都道府県立,,富山県立中央病院,,http://www.tch.pref.toyama.jp/,1942-11-01,,"",733,,930-8550,富山県,富山市西長江2-2-78,076-424-1531,,076-422-0667,kohei.nishikawa@pref.toyama.lg.jp,,,,病院長,加治　正英,,,病院長,清水康一→臼田和生→　加治　正英,カジ　マサヒデ,消化器外科,,,秘書,高岡,,,,,,,,,,,,事務局長,太田  浩男 ,,,看護部長,高長　雅美（たかなが）→四十田　真理子,Mariko Aida,,,"",,"",DPCⅡ群 災害拠点病院（基幹） 都道府県がん診療連携拠点病院,"2014年DPCⅡ群昇格",
出塚 中島 片桐,,,2025/9/1 Wedge 広島県は、県立広島病院、県立二葉の里病院（旧・JR広島病院）、中電病院、広島がん高精度放射線治療センターの4医療機関を統合し、JR広島駅前に1000床規模の新病院の設立を計画している。高度医療提供体制を整備し、2030年度中の開院を目指す,都道府県立,,県立広島病院,ケンリツヒロシマビョウイン,http://www.hph.pref.hiroshima.jp/,1877-05-01,,"",707,一般病床657床、精神病床50床,734-8530,広島県,広島市南区宇品神田１丁目5番54号,082-254-1818,,,,,,,,,,,院長,木矢?平川?板本　敏行,イタモト　トシユキ,広島大学（昭和５８）外科,,,,,,,,,,,,,,,,事務局長,山口 浩央,,,看護部長,石橋 里美→島田 洋子260401,,,南々社,"",,"",災害拠点病院（基幹）,"2030年にJR広島病院、中電病院、広島がん高精度放射線治療センターと統合予定",
出塚 中島,2018年DPC特定病院群 内部留保が多い（2016年度）,,2032年10月青森市民病院と統合予定／2025年12月26日東奥日報　,都道府県立,,青森県立中央病院,アオモリケンリツチュウオウビョウイン,http://aomori-kenbyo.jp/,1952-01-01,,"",694,,030-8553,青森県,青森市東造道2-1-1,017-726-8111,,017-726-8325,,,,,病院事業管理者,廣田　和美,,,病院長,吉田茂昭→藤野安弘→廣田　和美,ヒロタ　カズヨシ,弘前大学　麻酔科　昭和６１年卒,,,病院事業管理者,吉田茂昭→大山　力,,,,院長・事業管理者秘書,工藤→藤川,,,,,,,,,,,看護部長,髙林　良子→田口　真紀子,,,2015,"",,"",災害拠点病院（基幹）,"青森市立病院と統合予定。統合に向けて出版を提案しよう。新病院は統合に絡めてとなる。",
出塚 片桐 田村,2018年DPC特定病院群,,,都道府県立,,岩手県立中央病院,,https://chuo-hp.jp/,1933-05-01,,"",685,,020-0066,岩手県,盛岡市上田１丁目４番１号,019-653-1151,,019-653-2528,,,,,院長,宮田　剛,,,院長,望月　泉→宮田　剛→　臼田　昌広,ウスダ　マサヒロ,東北大学（平成6）消化器外科,,,秘書,若林,,,,,,,,,,,,事務局長,一井　誠　→　不明,いちい,,看護部長,稲見　敬子⇒遠藤　和江,,,2016,"",,"",地域がん診療連携拠点病院 がん５年生存率WORST2021,"",
出塚 田村,内部留保が多い（2016年度）,,,都道府県立,,石川県立中央病院,,http://www.pref.ishikawa.jp/ipch/index.html,1948-11-01,,"",662,,920-8530,石川県,金沢市鞍月東2丁目1番地,076-237-8211,,076-238-5366,soumuka@ipch.jp,,,,病院長,岡田俊英,,,病院長,山田 哲司→岡田　俊英,,東北大学1986年　消化器内科,,,,,,,,,,,,,,,,管理局長,土田 壽久→不明,,,看護部長,江藤　真由美,,,,"",,"",,"",
出塚 中島,2018年DPC特定病院群,,,都道府県立,,山形県立中央病院,,http://www.ypch.gr.jp/,1897-08-01,,"",660,,990-2214,山形県,山形市青柳1800,023-685-2626,,023-685-2603,hommakoji1@ypch.gr.jp,,,,院長,鈴木克典　,,,院長,後藤敏和→武田弘明→鈴木克典　,,,,,,,,,,,,,,事務局次長,吉田 憲明260401(職員のハラスメント担当),,,事務局長,吉川 隆→寺崎 琴文260401,,,副院長兼看護部長,菅井　憲子,,,,"",,"",災害拠点病院（基幹） がん５年生存率BEST2021,"",
